series,model_family,model,MAE,RMSE,MAPE,sMAPE,AIC,BIC
residential,Box-Jenkins,"ARMA(1,1)",19.501700962214446,23.714844605905487,14.64228970104726,15.480107271864252,2028.7739545720208,2042.8916709220664
residential,Box-Jenkins,MA(1),19.703541738302473,23.86991039512379,14.875227176690828,15.64641459980961,2053.724445677547,2064.3127329400813
residential,Box-Jenkins,AR(1),20.261229009525433,24.03469019733944,15.41565906816291,16.157839851102253,2145.225384334987,2155.8255528011696
residential,Exponential Smoothing,Simple Exponential Smoothing,20.5529234870019,24.616494433267476,15.48421460232279,16.402186133915,,
residential,Baseline,Naive,20.552923553750002,24.616494597147078,15.484214606423677,16.402186189765498,,
residential,Exponential Smoothing,Holt Linear Trend,20.68036768756061,24.82737353559808,15.538210751113999,16.510535668412647,,
residential,Box-Jenkins,"ARIMA(1,1,1)",34.30102804448855,41.03240809002267,25.011512835361412,29.869540935010168,2111.7952197093496,2125.897031465877
total,Baseline,Seasonal Naive,8.120792229166675,10.40016740973052,2.4267362635097083,2.4695383887262548,,
total,Box-Jenkins,"SARIMA(1,0,1)(1,1,1,12)",12.444620623115304,14.174698988074338,3.6202093259147055,3.701508343668389,1556.584536436709,1577.1606102104356
total,Exponential Smoothing,Holt-Winters Additive,12.367020657726131,14.396756062508416,3.5536873256946286,3.6337825087129496,,
total,Box-Jenkins,"SARIMA(1,1,1)(1,1,1,12)",13.108318951971567,14.779372243053055,3.8203897497737374,3.9098712226009793,1553.4366562118335,1573.9863563167219
total,Machine Learning,Gradient Boosting,11.694362738541168,15.358659299208236,3.386441334308606,3.4361042568035205,,
total,Machine Learning,Gradient Boosting Tuned,12.78753884547824,15.48007262470922,3.6751627777183193,3.7452582231147282,,
total,Machine Learning,Random Forest Tuned,13.3193680743936,16.10530336963184,3.8533461131855207,3.906746455456838,,
total,Machine Learning,Random Forest,13.443269325709176,16.121257734453494,3.879800978299197,3.938477441000457,,
total,Machine Learning,MLP Neural Network Tuned,17.94779884345321,22.01080162261881,5.135513256360314,5.285519095847907,,
total,Machine Learning,MLP Neural Network,23.85092101308322,27.514108565237056,6.8447903524373315,7.113593498951721,,
total,Machine Learning,Decision Tree,24.29123958590174,32.99569165367906,6.693374623141748,7.09452574317386,,
