date,series,actual
2020-10-01,commercial,108.46818854
2020-11-01,commercial,97.89662003999999
2020-12-01,commercial,105.45620387
2021-01-01,commercial,104.49764717
2021-02-01,commercial,98.35567733
2021-03-01,commercial,102.87723442
2021-04-01,commercial,98.72137911
2021-05-01,commercial,104.7112089
2021-06-01,commercial,119.05269114
2021-07-01,commercial,127.85573402
2021-08-01,commercial,131.11112131
2021-09-01,commercial,118.98868356999999
2021-10-01,commercial,112.24647542
2021-11-01,commercial,103.50607833000001
2021-12-01,commercial,106.51556744
2022-01-01,commercial,113.60509055
2022-02-01,commercial,103.06262117
2022-03-01,commercial,108.60313762
2022-04-01,commercial,104.56587141000001
2022-05-01,commercial,113.00720865
2022-06-01,commercial,121.5671717
2022-07-01,commercial,133.95171136
2022-08-01,commercial,135.67595261
2022-09-01,commercial,124.19527519
2022-10-01,commercial,111.85135754
2022-11-01,commercial,106.85796303
2022-12-01,commercial,113.92945205000001
2023-01-01,commercial,112.78971678
2023-02-01,commercial,103.83028424
2023-03-01,commercial,112.64296368
2023-04-01,commercial,104.09076444
2023-05-01,commercial,113.24271738
2023-06-01,commercial,120.70658417
2023-07-01,commercial,136.39420263000002
2023-08-01,commercial,138.38957188
2023-09-01,commercial,126.54578749000001
2023-10-01,commercial,118.20785264
2023-11-01,commercial,109.7564832
2023-12-01,commercial,111.51182661
2024-01-01,commercial,118.23400579
2024-02-01,commercial,108.96666608
2024-03-01,commercial,111.38231368999999
2024-04-01,commercial,108.97249159
2024-05-01,commercial,117.86368825000001
2024-06-01,commercial,127.94905253
2024-07-01,commercial,139.55100435999998
2024-08-01,commercial,140.63226455
2024-09-01,commercial,127.24828887000001
2024-10-01,commercial,120.89870457
2024-11-01,commercial,112.09079487
2024-12-01,commercial,117.15194094
2025-01-01,commercial,124.44735304
2025-02-01,commercial,113.20445431
2025-03-01,commercial,114.42690423
2025-04-01,commercial,112.43561527
2025-05-01,commercial,119.94259622000001
2025-06-01,commercial,130.58900785
2025-07-01,commercial,144.36314666
2025-08-01,commercial,142.26268351000002
2025-09-01,commercial,129.79109404
2025-10-01,commercial,124.6800319
2025-11-01,commercial,114.82161454
2025-12-01,commercial,122.52159204
2026-01-01,commercial,126.11966184
2026-02-01,commercial,115.69149597
2003-01-01,industrial,80.82812943
2003-02-01,industrial,79.51656962999999
2003-03-01,industrial,81.75833458
2003-04-01,industrial,83.05762224
2003-05-01,industrial,84.61916494
2003-06-01,industrial,86.20983272999999
2003-07-01,industrial,87.73230375
2003-08-01,industrial,90.53624056000001
2003-09-01,industrial,85.68198833999999
2003-10-01,industrial,86.98171286
